X,Y,OBJECTID,MCD,EMS,LONG_NAME,SHORT_NAME,FIRE_STATION_NO,FIRE_STATION_STATUS,COMMENT,ADDRESS,URL
790752.750087768,467622.656137347,40,CITY OF MADISON,Y,Fire Station # 7,# 7,7,A,Active,1810 McKenna Blvd,http://www.cityofmadison.com/fire/stations/station7.cfm
791470.632510275,477278.406838939,41,CITY OF MADISON,Y,Fire Station # 2,# 2,2,A,Active,421 Grand Canyon Dr,http://www.cityofmadison.com/fire/stations/station2.cfm
803441.312637106,480570.124993026,42,CITY OF MADISON,N,Fire Station # 9,# 9,9,A,Active,201 N. Midvale Blvd,http://www.cityofmadison.com/fire/stations/station9.cfm
817938.640597776,469576.597439438,43,CITY OF MADISON,Y,Fire Station # 6,# 6,6,A,Active,825 West Badger Rd,http://www.cityofmadison.com/fire/stations/station6.cfm
813845.483101696,480522.496479347,44,CITY OF MADISON,Y,Fire Station # 4,# 4,4,A,Active,1437 Monroe St,http://www.cityofmadison.com/fire/stations/station4.cfm
819550.062571779,482506.687392861,45,CITY OF MADISON,N,Fire Station # 1,# 1,1,A,Active,316 W Dayton St,http://www.cityofmadison.com/fire/stations/station1.cfm
826707.666038692,486103.814056858,46,CITY OF MADISON,Y,Fire Station # 3,# 3,3,A,Active,1217 Williamson St,http://www.cityofmadison.com/fire/stations/station3.cfm
825362.152981699,504145.98433727,47,CITY OF MADISON,Y,Fire Station # 10,# 10,10,A,Active,1517 Troy Dr,http://www.cityofmadison.com/fire/stations/station10.cfm
841859.770905018,486512.550444096,48,CITY OF MADISON,Y,Fire Station # 5,# 5,5,A,Active,4418 Cottage Grove Rd,http://www.cityofmadison.com/fire/stations/station5.cfm
839454.750124529,499546.187434524,49,CITY OF MADISON,Y,Fire Station # 8,# 8,8,A,Active,3945 Lien Rd,http://www.cityofmadison.com/fire/stations/station8.cfm
849076.843413115,508166.535351276,50,CITY OF MADISON,N,Fire Station # 11,# 11,11,A,Active,4011 Morgan Way,http://www.cityofmadison.com/fire/stations/station11.cfm
851757.036871612,492709.964558437,51,CITY OF MADISON,N,Fire Station # 13,# 13,13,A,Active,6350 Town Center Dr,http://www.cityofmadison.com/fire/stations/station13.cfm
776133.052293107,475984.627602354,52,CITY OF MADISON,N,Fire Station # 12,# 12,12,A,Active,400 South Point Rd,http://www.cityofmadison.com/fire/stations/station12.cfm
844545.165140525,474603.530627027,53,CITY OF MADISON,N,Fire Station #14,# 14,14,P,Proposed,3218 Dairy Drive,
