Service Name,Service County,Service License Level,Service Primary Type,Primary Address City Name,Elite Region,Region Number,Transport group,Service Phone,Service Email,lat,lon
,,,,,,1.0,,,,46.604775274,-91.166698122
,,,,,,2.0,,,,46.162417724,-89.901908302
,,,,,,3.0,,,,45.05779237,-87.450647064
,,,,,,4.0,,,,43.702710098,-91.297936889
,,,,,,5.0,,,,43.037193661,-90.278449631
,,,,,,6.0,,,,44.168930539,-88.860058498
,,,,,,7.0,,,,43.141717871,-87.878563858
Lakeview Emergency Medical Service,Washington,Paramedic with Critical Care Endorsement,911 Transporting Service,Stillwater,Out of State,,911 Transporting Service,651-430-4621,jon.t.muller@lakeview.org,45.047650061,-92.817556902
Pepin Emergency Ambulance Service,Pepin,Emergency Medical Technician (EMT),911 Transporting Service,Pepin,Region 1,,911 Transporting Service,715-442-2461,pepinamb@pepinwisconsin.org,44.440367,-92.148926
Lund/Pepin First Responders,Pepin,Emergency Medical Responder (EMR),911 Non-Transporting Service,Pepin,Region 1,,911 Non-Transporting Service,715-442-2461,lundpepinemr@pepinwisconsin.org,44.440367,-92.148826
Maiden Rock - Plum City - Stockholm Ems,Pierce,Emergency Medical Technician (EMT),911 Transporting Service,Maiden Rock,Region 1,,911 Transporting Service,715-647-2402,mrpcsambulance@gmail.com,44.5608,-92.3097
Fairchild Fire Protection District Inc,Eau Claire,Emergency Medical Responder (EMR),911 Non-Transporting Service,Fairchild,Region 1,,911 Non-Transporting Service,715-334-2208,staciedwards13@gmail.com,44.601770754,-90.973329375
Durand Municipal Ambulance Service,Pepin,Emergency Medical Technician (EMT),911 Transporting Service,Durand,Region 1,,911 Transporting Service,715-448-0046,allisjeff@gmail.com,44.627282,-91.962186
Mchs Ambulance Service,Wood,Paramedic with Critical Care Endorsement,911 Transporting Service,Marshfield,Region 1,,911 Transporting Service,715-387-7433,skaya.dustin@marshfieldclinic.org,44.676378379,-90.178241832
Augusta Bridge Creek First Responders,Eau Claire,Emergency Medical Responder (EMR),911 Non-Transporting Service,Augusta,Region 1,,911 Non-Transporting Service,715-456-5577,lilmama51208@yahoo.com,44.682964,-91.138199
Ellsworth Area Ambulance Service,Pierce,Paramedic,911 Transporting Service,Ellsworth,Region 1,,911 Transporting Service,715-273-4879,info@ellsworthems.com,44.731023,-92.484735
Fall Creek Area Fire District,Eau Claire,Emergency Medical Responder (EMR),911 Non-Transporting Service,Fall Creek,Region 1,,911 Non-Transporting Service,715-563-0043,karenwright99w@gmail.com,44.7632,-91.2774
Elmwood Area Ambulance Service,Pierce,Emergency Medical Technician (EMT),911 Transporting Service,Elmwood,Region 1,,911 Transporting Service,715-639-2339,elmwoodareaems@gmail.com,44.781159,-92.150213
Emergicare Division Of Township Fd,Eau Claire,Emergency Medical Responder (EMR),911 Non-Transporting Service,Eau Claire,Region 1,,911 Non-Transporting Service,715-829-5329,johnroxley1071@gmail.com,44.785465,-91.438057
Altoona Fire And Rescue,Eau Claire,Emergency Medical Responder (EMR),911 Non-Transporting Service,Eau Claire,Region 1,,911 Non-Transporting Service,715-829-1041,troy.stoneberg@gmail.com,44.798955457,-91.460813032
Eau Claire Fire Department,Eau Claire,Paramedic,911 Transporting Service,Eau Claire,Region 1,,911 Transporting Service,715-839-5012,Natasha.Myre@eauclairewi.gov,44.812361,-91.497955
Spring Valley Area Ambulance,Pierce,Emergency Medical Technician (EMT),911 Transporting Service,Spring Valley,Region 1,,911 Transporting Service,715-495-2645,brad.r.jorgenson@gmail.com,44.843092,-92.239576
Mayo One - Eau Claire,Eau Claire,Paramedic with Critical Care Endorsement,Air Medical Service,Eau Claire,Region 1,,Air Medical Service,320-333-0818,fennell.thomas@mayo.edu,44.8542,-91.47721
Mayo Clinic Ambulance,Eau Claire,Paramedic,911 Transporting Service,Eau Claire,Region 1,,911 Transporting Service,320-333-0818,fennell.thomas@mayo.edu,44.8542,-91.47621
Chippewa Fire District,Chippewa,Paramedic with Critical Care Endorsement,911 Transporting Service,Lake Hallie,Region 1,,911 Transporting Service,715-723-5488,sbernette@chippewafiredistrict.com,44.88642,-91.404788
Dunn Co Medical Emergency First Responders,Dunn,Emergency Medical Responder (EMR),911 Non-Transporting Service,Menomonie,Region 1,,911 Non-Transporting Service,715-556-3662,aemt1332@gmail.com,44.891021,-91.880042
Wheaton (Town Of) Fire & Rescue,Chippewa,Emergency Medical Responder (EMR),911 Non-Transporting Service,Elk Mound,Region 1,,911 Non-Transporting Service,715-933-2057,james.gutsch@wheatonfirerescue.org,44.899701,-91.593071
Menomonie Fire Department,Dunn,Paramedic with Critical Care Endorsement,911 Transporting Service,Menomonie,Region 1,,911 Transporting Service,715-232-2414,amucks@menomonie-wi.gov,44.912532,-91.925187
Chippewa Falls Fire & Emergency Services,Chippewa,Paramedic with Critical Care Endorsement,911 Transporting Service,Chippewa Falls,Region 1,,911 Transporting Service,715-723-5710,jbusse@chippewafalls-wi.gov,44.922278,-91.370569
Boyd-Edson-Delmar Fire Department Ambulance,Chippewa,Emergency Medical Technician (EMT),911 Transporting Service,Boyd,Region 1,,911 Transporting Service,715-828-3082,chiefpatten601@yahoo.com,44.946648,-91.044548
Cadott Community Ambulance,Chippewa,Emergency Medical Technician (EMT),911 Transporting Service,Cadott,Region 1,,911 Transporting Service,715-289-3621,cadottems@yahoo.com,44.9482,-91.1508
Baldwin Ambulance Service,St. Croix,Paramedic with Critical Care Endorsement,911 Transporting Service,Baldwin,Region 1,,911 Transporting Service,715-684-3188,tom.boyer@villageofbaldwin.com,44.95793048,-92.378685951
Stanley Fire Department,Chippewa,Emergency Medical Responder (EMR),911 Non-Transporting Service,Stanley,Region 1,,911 Non-Transporting Service,715-828-3082,chiefpatten601@yahoo.com,44.960012781,-90.933104871
Hudson Fire Department,St. Croix,Emergency Medical Responder (EMR),911 Non-Transporting Service,Hudson,Region 1,,911 Non-Transporting Service,715-386-4270,dspielman@hudsonwi.gov,44.964778302,-92.729727689
Roberts Warren Fire And Rescue,St. Croix,Emergency Medical Responder (EMR),911 Non-Transporting Service,Roberts,Region 1,,911 Non-Transporting Service,715-749-3425,info@rwfd.org,44.982525,-92.557932
Tilden (Town Of) Fire Department First Responders,Chippewa,Emergency Medical Responder (EMR),911 Non-Transporting Service,Chippewa Falls,Region 1,,911 Non-Transporting Service,715-495-1188,tildenvfdchief@gmail.com,44.987768,-91.452557
Colfax Rescue Squad,Dunn,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Colfax,Region 1,,911 Transporting Service,715-303-3049,emsdirector@vi.colfax.wi.gov,44.9988,-91.7271
Hudson (Town Of) First Responders,St. Croix,Emergency Medical Responder (EMR),911 Non-Transporting Service,Hudson (Town of),Region 1,,911 Non-Transporting Service,612-810-3864,jay@exenvironmental.com,45.003993,-92.675647
