y,x,highway,ref,street_count,junction,railway
43.0558458,-89.2774453,motorway_junction,142A,3,,
43.0554654,-89.5030971,,,3,,
43.1186934,-89.3551547,,,4,,
43.0817431,-89.4744268,,,3,,
43.0831029,-89.4760176,,,4,,
43.0860392,-89.4798018,,,3,,
43.0898193,-89.4860915,traffic_signals,,4,,
43.0760806,-89.4058755,,,3,,
43.0750905,-89.4062143,,,3,,
43.0724576,-89.4237662,,,3,,
43.0720783,-89.4286479,traffic_signals,,4,,
43.030965,-89.486981,,,3,,
43.064231,-89.506447,,,3,,
43.1007221,-89.3332751,,,3,,
43.1006669,-89.3315343,,,3,,
43.101266,-89.335699,,,3,,
43.102509,-89.3356607,,,4,,
43.103539,-89.335614,,,3,,
43.104576,-89.335577,,,4,,
43.105623,-89.335524,,,3,,
43.1089201,-89.3355068,,,3,,
43.095713,-89.326666,,,4,,
43.0934051,-89.3267596,,,4,,
43.0916153,-89.3274356,,,4,,
43.0914027,-89.3276126,,,3,,
43.090723,-89.3283811,,,3,,
43.015103,-89.507802,,,3,,
43.0147676,-89.5078145,turning_circle,,1,,
43.079288,-89.511571,,,3,,
43.078689,-89.511435,,,3,,
43.078117,-89.511664,,,3,,
43.042592,-89.371913,,,3,,
43.04191,-89.3740053,motorway_junction,262,3,,
43.0394204,-89.3818805,,,3,,
43.0375599,-89.388913,motorway_junction,261,3,,
43.034664,-89.401328,motorway_junction,260A-B,3,,
43.034929,-89.410177,,,3,,
43.035042,-89.4129193,motorway_junction,259,3,,
43.0352421,-89.4381919,motorway_junction,258A,3,,
43.0399723,-89.4595143,,,3,,
43.043948,-89.468079,motorway_junction,257,3,,
43.048515,-89.477876,,,3,,
43.053367,-89.498923,motorway_junction,255,3,,
43.0532697,-89.508043,,,3,,
43.056898,-89.519673,motorway_junction,254,3,,
43.0632667,-89.5229365,,,3,,
43.071305,-89.522177,motorway_junction,253,3,,
43.079493,-89.521532,,,3,,
43.08643,-89.521212,motorway_junction,252,3,,
43.09214,-89.519815,,,1,,
43.0434271,-89.3662358,,,3,,
43.043199,-89.3692715,motorway_junction,263,3,,
43.041153,-89.375757,,,3,,
43.0390301,-89.382522,motorway_junction,262,3,,
43.0375615,-89.3881293,,,3,,
43.0348461,-89.3986425,motorway_junction,261,3,,
43.03454,-89.400783,,,3,,
43.0346183,-89.4067228,motorway_junction,260B,3,,
43.03476,-89.410043,motorway_junction,260A,3,,
43.034902,-89.413988,,,3,,
43.0354047,-89.4328833,motorway_junction,259,3,,
43.0346376,-89.4459295,,,3,,
43.039734,-89.459428,motorway_junction,258,3,,
43.0424837,-89.4654246,,,3,,
43.048357,-89.478149,motorway_junction,257,3,,
43.053049,-89.507072,motorway_junction,255,3,,
43.0628905,-89.5232111,motorway_junction,254,3,,
43.071286,-89.522518,,,3,,
43.078873,-89.52187,motorway_junction,253,3,,
43.085646,-89.521525,,,3,,
43.092274,-89.52001,,,1,,
43.047392,-89.444285,,,3,,
43.047069,-89.442956,,,4,,
43.0861412,-89.4818997,,,3,,
43.113124,-89.278982,,,3,,
43.0742335,-89.4736014,,,3,,
43.0737029,-89.4781173,,,3,,
43.0419035,-89.3617124,,,3,,
43.0414019,-89.3743352,,,3,,
43.038266,-89.376605,,,3,,
43.1435764,-89.2879583,motorway_junction,98A,3,,
43.0470467,-89.2784565,motorway_junction,267A,3,,
43.07989,-89.488045,,,1,,
43.0374887,-89.5181831,,,3,,
43.092434,-89.336568,,,1,,
43.0916984,-89.3359537,,,2,,
43.0397106,-89.3785687,,,4,,
43.06802,-89.433785,,,3,,
43.067451,-89.508767,,,3,,
43.067707,-89.50883,,,1,,
43.067287,-89.509592,,,3,,
43.06771,-89.509721,,,1,,
43.10278,-89.311489,,,3,,
43.106464,-89.309529,motorway_junction,1C,3,,
43.1070098,-89.3163055,,,4,,
43.1069991,-89.3166659,,,4,,
43.106612,-89.3221528,,,3,,
43.0454849,-89.2719677,,,3,,
43.0427198,-89.2756769,motorway_junction,142A;142B,3,,
43.1537351,-89.2936641,,,3,,
43.102702,-89.275249,,,3,,
43.1100579,-89.2857692,motorway_junction,138A,3,,
43.0268586,-89.3834214,motorway_junction,133,3,,
43.0449731,-89.3714575,,,3,,
43.050581,-89.517045,,,3,,
43.049971,-89.516988,,,1,,
43.050186,-89.51114,,,3,,
43.049715,-89.511521,,,1,,
43.0600362,-89.5216664,,,3,,
43.0605787,-89.5218558,traffic_signals,,4,,
43.1067684,-89.3392382,,,3,,
43.083418,-89.5199359,,,3,,
43.0484737,-89.3830427,,,3,,
43.048151,-89.382622,,,3,,
